merek_sku,jumlah_pack,estimasi_karton,jumlah_batang_equiv,total_upah_verpack,tanggal_aktif,status_validasi
Cengkeh Biru 77 isi 12,3000,3.0000,36000,510000,2,VALID AWAL / MERGE 22 MEI
Cengkeh Biru 77 isi 16,5000,8.3333,80000,1050000,4,VALID AWAL / MERGE 22 MEI
Cengkeh Refill isi 12,9450,15.7500,113400,2173500,2,VALID AWAL
GCC 99 isi 12,289000,289.0000,3468000,49130000,10,VALID AWAL / MERGE SAMPAI 23 MEI
GCC 99 isi 16,124700,207.8333,1995200,26187000,7,VALID AWAL
New GCC 99 isi 16 Ambree Kuning,124000,206.6667,1984000,26040000,4,VALID AWAL / OFFICIAL PITA - UPDATE SAMPAI 21 MEI
New GCC 99 isi 16 Ambree Biru,48,0.0800,768,10080,1,VALID AWAL / MERGE 22 MEI
Gedung Cengkeh 16 New / New GCC 99 isi 16,51450,85.7500,823200,10804500,2,VALID AWAL / MERGE SAMPAI 23 MEI
TUD New GCC 99 isi 16,2,0.0033,32,420,1,VALID AWAL / MERGE 22 MEI - memakai pita tidak masuk stok regular
TOTAL,606650,816.4163,8500600,115905500,17,VALID AWAL - TOTAL SAMPAI 23 MEI
